0,Country,Region,Renovation work,Material,Thickness [cm],Lambda [mK/W],Uw [W/m2K],Power [kW],Solar collector area [m2],Capacity [l],Price [€/m2],Price [€],Price [€/kW],"Source Author, Title, Year",Source link,,,,,
3,Czechia,General,Floor insulation,,,,,,,, 42.00 € ,, -   € ,,,,,,,
3,Czechia,General,Windows,,,,,,,, 384.00 € ,, -   € ,,,,,,,
3,Czechia,General,Air-water Heat Pump,,,,,,,,," 9,672.24 € ", -   € ,RTS. Cenová soustava RTS DATA. TZB - instalace a potrubní rozvody. Tepelná ?erpadla. 2025,https://rtscloud.cz/App/RTS-Data/ De Dietrich. Heat Pumps. 2025 https://www.dedietrich-heating.com/index.php/products/product_ranges/heat_pumps/alezio_s_v200_air_water_heat_pump/alezio_s_11_mr_tr_v200,,,,,
3,Czechia,General,Condensing boiler,,,,,,,,," 1,995.00 € ", -   € ,,https://rtscloud.cz/App/RTS-Data/KKPTree_OBJ6_KPR630,,,,,
3,Czechia,General,PV,,,,,1,,,," 1,560.00 € "," 1,560.00 € ",Evolty. Cena solárních panel? 2024. 2025,https://evolty.cz/solarni-panely/cena-solarnich-panelu/,,,,,
3,Czechia,General,Solar thermal panels,,,,,,,100,, 763.00 € , -   € ,,https://rtscloud.cz/App/RTS-Data/KKPTree_OBJ6_KPR487,,,,,
4,Estonia,General,Wall insulation ,MW,15,0.038,,,,, 233.00 € ,, -   € ,Thalfeldt et al. Window model and 5 year price data sensitivity to cost-effective fac?ade solutions for of ce buildings in Estonia. 2017 ,http://dx.doi.org/10.1016/j.energy.2017.06.160,,,,,
4,Estonia,General,Wall insulation - additional,MW,5,0.038,,,,, 7.70 € ,, -   € ,Thalfeldt et al. Window model and 5 year price data sensitivity to cost-effective fac?ade solutions for of ce buildings in Estonia. 2017 ,http://dx.doi.org/10.1016/j.energy.2017.06.160,,,,,
4,Estonia,General,Roof insulation - Accessible,Cellulose,80,0.095,,,,, 18.00 € ,, -   € ,"Kertsmik et al. Evaluation of renovation strategies: cost-optimal, CO?e optimal, or total energy optimal? 2023",https://doi.org/10.1016/j.enbuild.2023.112995,,,,,
4,Estonia,General,Roof insulation - Makeover,,,,,,,,,, -   € ,,,,,,,
4,Estonia,General,Floor insulation,EPS,10,0.035,,,,, 102.84 € ,, -   € ,,,,,,,
4,Estonia,General,Windows,PVC,,,0.8,,,, 145.00 € ,, -   € ,"Kertsmik et al. Evaluation of renovation strategies: cost-optimal, CO?e optimal, or total energy optimal? 2023",https://doi.org/10.1016/j.enbuild.2023.112995,,,,,
4,Estonia,General,Air-water Heat Pump,,,,,5,,,," 6,000.00 € "," 1,200.00 € ",,,,,,,
4,Estonia,General,Condensing boiler,,,,,24,,,," 1,800.00 € ", 75.00 € ,,,,,,,
4,Estonia,General,PV,,,,,1,,,," 1,100.00 € "," 1,100.00 € ",Noman Shabbir et al. Techno-economic analysis and energy forecasting study of domestic and commercial photovoltaic system installations in Estonia. 2022,https://doi.org/10.1016/j.energy.2022.124156,,,,,
4,Estonia,General,Solar thermal panels,,,,,,,,," 1,200.00 € ", -   € ,"Kuusk, K.,  Kalamees, T. Retrofit cost-effectiveness: Estonian apartment buildings.  2015
",https://doi.org/10.1080/09613218.2016.1103117,,,,,
5,France,General,Wall insulation ,EPS,10,0.034,,,,, 160.00 € ,, -   € ,"Conseil d'analyse economique. ""Analyse socio-economique de la renovation energetique des logements"". 2024",https://www.cae-eco.fr/analyse-socio-economique-de-la-renovation-energetique-des-logements,,,,,
5,France,General,Wall insulation - additional,,,,,,,,,, -   € ,,,,,,,
5,France,General,Roof insulation - Accessible,,16,0.034,,,,, 80.00 € ,, -   € ,"Conseil d'analyse economique. ""Analyse socio-economique de la renovation energetique des logements"". 2024",https://www.cae-eco.fr/analyse-socio-economique-de-la-renovation-energetique-des-logements,,,,,
5,France,General,Roof insulation - Makeover,,,,,,,,,, -   € ,,,,,,,
5,France,General,Floor insulation,,,,,,,, 50.00 € ,, -   € ,"Conseil d'analyse economique. ""Analyse socio-economique de la renovation energetique des logements"". 2024",https://www.cae-eco.fr/analyse-socio-economique-de-la-renovation-energetique-des-logements,,,,,
5,France,General,Windows,PVC,,,1.3,,,, 560.00 € ,, -   € ,"Conseil d'analyse economique. ""Analyse socio-economique de la renovation energetique des logements"". 2024",https://www.cae-eco.fr/analyse-socio-economique-de-la-renovation-energetique-des-logements,,,,,
5,France,General,Air-water Heat Pump,,,,,15,,,," 14,413.00 € ", 960.87 € ,"Observatorie des batiments basse consommation. ""Les maisons renovees a basse consommation"". 2021",https://www.effinergie.org/web/images/attach/base_doc/2912/20210429etude-renovation.pdf#page=33.44,,,,,
